sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Micron - Fab 4 (Bldg. 50) project capital expenditure (SEMI WFF),Micron - Fab 4 (Bldg. 50),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
MiQro Innovation Collaborative Centre (C2MI) - MiQro Innovation Collaborative Centre project capital expenditure (SEMI WFF),MiQro Innovation Collaborative Centre (C2MI) - MiQro Innovation Collaborative Centre,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Mitsubishi Electric - Power Devices Innovation Center (PI building) project capital expenditure (SEMI WFF),Mitsubishi Electric - Power Devices Innovation Center (PI building),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Nanoshift LLC - Emeryville project capital expenditure (SEMI WFF),Nanoshift LLC - Emeryville,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Nanotech - the UCSB Nanofabrication Facility - Nanotech project capital expenditure (SEMI WFF),Nanotech - the UCSB Nanofabrication Facility - Nanotech,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
NASA - Goddard Laboratory - DDL (Detrector Development Lab) project capital expenditure (SEMI WFF),NASA - Goddard Laboratory - DDL (Detrector Development Lab),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
National Institute for Nanotechnology (NINT) - NINT project capital expenditure (SEMI WFF),National Institute for Nanotechnology (NINT) - NINT,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
National Nano Device Laboratories (NDL) - New Nano Fab project capital expenditure (SEMI WFF),National Nano Device Laboratories (NDL) - New Nano Fab,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
National Nano Device Laboratories (NDL) - Nano Fab project capital expenditure (SEMI WFF),National Nano Device Laboratories (NDL) - Nano Fab,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
New Jersey Institute of Technology - N/A project capital expenditure (SEMI WFF),New Jersey Institute of Technology - N/A,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Nisshinbo - Ikeda (was Ricoh) project capital expenditure (SEMI WFF),Nisshinbo - Ikeda (was Ricoh),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Norcada Inc. - Fab 1 project capital expenditure (SEMI WFF),Norcada Inc. - Fab 1,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Northrop Grumman - Manhattan Beach project capital expenditure (SEMI WFF),Northrop Grumman - Manhattan Beach,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Nuvoton Technology - Techno Center (was Panasonic) project capital expenditure (SEMI WFF),Nuvoton Technology - Techno Center (was Panasonic),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Pioneer Micro Technology Corporation - Kofu plant project capital expenditure (SEMI WFF),Pioneer Micro Technology Corporation - Kofu plant,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Pulsar (Scientific Research Institute) - 6-inch project capital expenditure (SEMI WFF),Pulsar (Scientific Research Institute) - 6-inch,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Qorvo Inc. - Design Center (was RF Nitro, then RFMD) project capital expenditure (SEMI WFF)","Qorvo Inc. - Design Center (was RF Nitro, then RFMD)",资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Qorvo Inc. - Bend project capital expenditure (SEMI WFF),Qorvo Inc. - Bend,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Rohm - LED Research project capital expenditure (SEMI WFF),Rohm - LED Research,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - San Jose project capital expenditure (SEMI WFF),Samsung - San Jose,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - Xian R&D Center project capital expenditure (SEMI WFF),Samsung - Xian R&D Center,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - R Square project capital expenditure (SEMI WFF),Samsung - R Square,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - NRD Line project capital expenditure (SEMI WFF),Samsung - NRD Line,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - Taylor R&D Facility project capital expenditure (SEMI WFF),Samsung - Taylor R&D Facility,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Samsung - Line 5 (SiC and GaN Line) project capital expenditure (SEMI WFF),Samsung - Line 5 (SiC and GaN Line),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Sandia National Labs - SiFab (former MDL) project capital expenditure (SEMI WFF),Sandia National Labs - SiFab (former MDL),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Sandia National Labs - MicroFab project capital expenditure (SEMI WFF),Sandia National Labs - MicroFab,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Scottish Microelectronics Centre - Scottish Microelectronics Centre project capital expenditure (SEMI WFF),Scottish Microelectronics Centre - Scottish Microelectronics Centre,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Seagate - Bloomington R&D project capital expenditure (SEMI WFF),Seagate - Bloomington R&D,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Shanghai Advanced Micro Semiconductors - Fab 1 project capital expenditure (SEMI WFF),Shanghai Advanced Micro Semiconductors - Fab 1,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Shanghai Industrial Technology Institute (SITRI) - 1st floor Silicon Photonics project capital expenditure (SEMI WFF),Shanghai Industrial Technology Institute (SITRI) - 1st floor Silicon Photonics,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Shanghai Institute of Microsystem and Information Technology (SIMIT) - SIMIT Lab for Transducer Development project capital expenditure (SEMI WFF),Shanghai Institute of Microsystem and Information Technology (SIMIT) - SIMIT Lab for Transducer Development,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Shenzhen Sitan Technology - Shenzhen Pilot line project capital expenditure (SEMI WFF),Shenzhen Sitan Technology - Shenzhen Pilot line,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Sony - ULSI (Atsugi Technology Center) project capital expenditure (SEMI WFF),Sony - ULSI (Atsugi Technology Center),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
SUNY Polytechnic Institute - NanoFab Reflection (NRF) (NSTC - National Semiconductor Technology Center) project capital expenditure (SEMI WFF),SUNY Polytechnic Institute - NanoFab Reflection (NRF) (NSTC - National Semiconductor Technology Center),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
SUNY Polytechnic Institute - NanoFab North (NFN) project capital expenditure (SEMI WFF),SUNY Polytechnic Institute - NanoFab North (NFN),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
SUNY Polytechnic Institute - NanoFab 200 (CESTM) project capital expenditure (SEMI WFF),SUNY Polytechnic Institute - NanoFab 200 (CESTM),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
SUNY Polytechnic Institute - NanoFab South Annex (NFS-Annex) project capital expenditure (SEMI WFF),SUNY Polytechnic Institute - NanoFab South Annex (NFS-Annex),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
SUNY Polytechnic Institute - NanoFab South (NFS) project capital expenditure (SEMI WFF),SUNY Polytechnic Institute - NanoFab South (NFS),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
SUNY Polytechnic Institute - NanoFab Xtension (NFX) project capital expenditure (SEMI WFF),SUNY Polytechnic Institute - NanoFab Xtension (NFX),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
