sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Coherent (was II-VI Incorporated) - Zurich project capital expenditure (SEMI WFF),Coherent (was II-VI Incorporated) - Zurich,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Coherent (was II-VI Incorporated) - Anadigics GaAs fab project capital expenditure (SEMI WFF),Coherent (was II-VI Incorporated) - Anadigics GaAs fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Coherent (was II-VI Incorporated) - Project Device Fab project capital expenditure (SEMI WFF),Coherent (was II-VI Incorporated) - Project Device Fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Colibrys Sa - N/A project capital expenditure (SEMI WFF),Colibrys Sa - N/A,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Compound Photonics - Madison fab project capital expenditure (SEMI WFF),Compound Photonics - Madison fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CR Microelectronics - Fab 2 project capital expenditure (SEMI WFF),CR Microelectronics - Fab 2,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
CR Microelectronics - Skysilicon (was ProMoS) project capital expenditure (SEMI WFF),CR Microelectronics - Skysilicon (was ProMoS),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
CR Microelectronics - New 200mm line project capital expenditure (SEMI WFF),CR Microelectronics - New 200mm line,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Crocus Nano Electronics (CNE) - MRAM Fab project capital expenditure (SEMI WFF),Crocus Nano Electronics (CNE) - MRAM Fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CST Global - Hamilton fab (former Intense) project capital expenditure (SEMI WFF),CST Global - Hamilton fab (former Intense),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CXMT (ChangXin Memory Technologies) - CXMT Beijing Fab 3 project capital expenditure (SEMI WFF),CXMT (ChangXin Memory Technologies) - CXMT Beijing Fab 3,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
CXMT (ChangXin Memory Technologies) - CXMT Shanghai Fab 1 project capital expenditure (SEMI WFF),CXMT (ChangXin Memory Technologies) - CXMT Shanghai Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
"Dai Nippon Printing Co., Ltd - MEMS fab project capital expenditure (SEMI WFF)","Dai Nippon Printing Co., Ltd - MEMS fab",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Dalian Universal Semiconductors - Zhuanghe fab project capital expenditure (SEMI WFF),Dalian Universal Semiconductors - Zhuanghe fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
DB HiTek (was Dongbu Hi Tek) - Fab 1 project capital expenditure (SEMI WFF),DB HiTek (was Dongbu Hi Tek) - Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
DB HiTek (was Dongbu Hi Tek) - Fab 2 SiC Line project capital expenditure (SEMI WFF),DB HiTek (was Dongbu Hi Tek) - Fab 2 SiC Line,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Defense Microelectronics Activity (DMEA) - ARMS (Bldg 620) project capital expenditure (SEMI WFF),Defense Microelectronics Activity (DMEA) - ARMS (Bldg 620),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
DenseLight Semiconductors - Fab 1 project capital expenditure (SEMI WFF),DenseLight Semiconductors - Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Denso Corporation - Kota (200mm) project capital expenditure (SEMI WFF),Denso Corporation - Kota (200mm),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Denso Corporation - Kota (#705 & #702) project capital expenditure (SEMI WFF),Denso Corporation - Kota (#705 & #702),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Denso Corporation - Building A (was Toyota Industries Corp) project capital expenditure (SEMI WFF),Denso Corporation - Building A (was Toyota Industries Corp),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Denso Corporation - Building B (was Toyota Industries Corp) project capital expenditure (SEMI WFF),Denso Corporation - Building B (was Toyota Industries Corp),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Denso Corporation - SiC R&D fab (was Toyota Industries Corp) project capital expenditure (SEMI WFF),Denso Corporation - SiC R&D fab (was Toyota Industries Corp),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Denso Corporation - HQ 5"" fab project capital expenditure (SEMI WFF)","Denso Corporation - HQ 5"" fab",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Denso Corporation - Denso Iwate (was Fujitsu) project capital expenditure (SEMI WFF),Denso Corporation - Denso Iwate (was Fujitsu),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
DiCon - Richmond HQ project capital expenditure (SEMI WFF),DiCon - Richmond HQ,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Diodes Inc. - Zizhu Fab 1 (8-inch line) project capital expenditure (SEMI WFF),Diodes Inc. - Zizhu Fab 1 (8-inch line),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
"Diodes Inc. - G Fab (8-inch line) (was TI, was National Semi_ project capital expenditure (SEMI WFF)","Diodes Inc. - G Fab (8-inch line) (was TI, was National Semi_",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Diodes Inc. - G Fab (6-inch line) (was TI, was National Semi_ project capital expenditure (SEMI WFF)","Diodes Inc. - G Fab (6-inch line) (was TI, was National Semi_",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Diodes Inc. - Fab 2 (former BCD) project capital expenditure (SEMI WFF),Diodes Inc. - Fab 2 (former BCD),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Diodes Inc. - Manchester Fab project capital expenditure (SEMI WFF),Diodes Inc. - Manchester Fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Diodes Inc. - SPFAB (was OnSemi, was Fairchild) project capital expenditure (SEMI WFF)","Diodes Inc. - SPFAB (was OnSemi, was Fairchild)",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Diotec Semiconductor AG - Heitersheim HQ project capital expenditure (SEMI WFF),Diotec Semiconductor AG - Heitersheim HQ,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Diotec Semiconductor AG - Semikron d.o.o Slovenia project capital expenditure (SEMI WFF),Diotec Semiconductor AG - Semikron d.o.o Slovenia,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
DRIX - N/A project capital expenditure (SEMI WFF),DRIX - N/A,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Dynax Semiconductor Inc. - Fab 1 project capital expenditure (SEMI WFF),Dynax Semiconductor Inc. - Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Electronics Industry Public Company (EIC) - EIC Semi project capital expenditure (SEMI WFF),Electronics Industry Public Company (EIC) - EIC Semi,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
EM Microelectronic - Marin SA - Marin fab project capital expenditure (SEMI WFF),EM Microelectronic - Marin SA - Marin fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
