nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value,property.facility_name,property.facility_record_id,property.source_sheet,source_url
Powerchip Semiconductor Manufacturing Corp (PSMC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,93,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Powerchip Semiconductor Manufacturing Corp (PSMC),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Qinzhou Shenghe Electronic Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Qinzhou Shenghe Electronic Technology,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
RISE 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,RISE,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Rapidus 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,400,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rapidus,1250,800,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Rapidus 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1910,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rapidus,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
RayVio 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,RayVio,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Renesas 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,299.6,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Renesas,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Resonac 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,32,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Resonac,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Rohm 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,60.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rohm,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Rong Semi (former HIDM Tacoma) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,650,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rong Semi (former HIDM Tacoma),350,0,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Rong Semi (former HIDM Tacoma) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,216,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rong Semi (former HIDM Tacoma),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
SCIOCS (Sumitomo Chemical) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SCIOCS (Sumitomo Chemical),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
SCL (Semiconductor Laboratory) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,60,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SCL (Semiconductor Laboratory),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
SITAR (Bangalore & Hyderabad) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SITAR (Bangalore & Hyderabad),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
